orderNumber,orderLineNumber,customerNumber,employeeNumber,productCode,status,quantityOrdered,priceEach,sales_amount,origin,complete_order_number,customer-check,amount,checkNumber,paymentDate
10100,1,363,1216,S24_3969,Shipped,49,35.29,1729.21,spain,10100-1,363-HL575273,50799.69,HL575273,2004-11-17
10100,1,363,1216,S24_3969,Shipped,49,35.29,1729.21,spain,10100-1,363-IS232033,10223.83,IS232033,2003-01-16
10100,1,363,1216,S24_3969,Shipped,49,35.29,1729.21,spain,10100-1,363-PN238558,55425.77,PN238558,2003-12-05
10100,2,363,1216,S18_2248,Shipped,50,55.09,2754.5,spain,10100-2,363-HL575273,50799.69,HL575273,2004-11-17
10100,2,363,1216,S18_2248,Shipped,50,55.09,2754.5,spain,10100-2,363-IS232033,10223.83,IS232033,2003-01-16
10100,2,363,1216,S18_2248,Shipped,50,55.09,2754.5,spain,10100-2,363-PN238558,55425.77,PN238558,2003-12-05
10100,3,363,1216,S18_1749,Shipped,30,136.0,4080.0,spain,10100-3,363-HL575273,50799.69,HL575273,2004-11-17
10100,3,363,1216,S18_1749,Shipped,30,136.0,4080.0,spain,10100-3,363-IS232033,10223.83,IS232033,2003-01-16
10100,3,363,1216,S18_1749,Shipped,30,136.0,4080.0,spain,10100-3,363-PN238558,55425.77,PN238558,2003-12-05
10100,4,363,1216,S18_4409,Shipped,22,75.46,1660.12,spain,10100-4,363-HL575273,50799.69,HL575273,2004-11-17
10100,4,363,1216,S18_4409,Shipped,22,75.46,1660.12,spain,10100-4,363-IS232033,10223.83,IS232033,2003-01-16
10100,4,363,1216,S18_4409,Shipped,22,75.46,1660.12,spain,10100-4,363-PN238558,55425.77,PN238558,2003-12-05
10101,1,128,1504,S18_2795,Shipped,26,167.06,4343.56,spain,10101-1,128-DI925118,10549.01,DI925118,2003-01-28
10101,1,128,1504,S18_2795,Shipped,26,167.06,4343.56,spain,10101-1,128-FA465482,24101.81,FA465482,2003-10-18
10101,1,128,1504,S18_2795,Shipped,26,167.06,4343.56,spain,10101-1,128-FH668230,33820.62,FH668230,2004-03-24
10101,1,128,1504,S18_2795,Shipped,26,167.06,4343.56,spain,10101-1,128-IP383901,7466.32,IP383901,2004-11-18
10101,2,128,1504,S24_2022,Shipped,46,44.35,2040.1,spain,10101-2,128-DI925118,10549.01,DI925118,2003-01-28
10101,2,128,1504,S24_2022,Shipped,46,44.35,2040.1,spain,10101-2,128-FA465482,24101.81,FA465482,2003-10-18
10101,2,128,1504,S24_2022,Shipped,46,44.35,2040.1,spain,10101-2,128-FH668230,33820.62,FH668230,2004-03-24
10101,2,128,1504,S24_2022,Shipped,46,44.35,2040.1,spain,10101-2,128-IP383901,7466.32,IP383901,2004-11-18
10101,3,128,1504,S24_1937,Shipped,45,32.53,1463.85,spain,10101-3,128-DI925118,10549.01,DI925118,2003-01-28
10101,3,128,1504,S24_1937,Shipped,45,32.53,1463.85,spain,10101-3,128-FA465482,24101.81,FA465482,2003-10-18
10101,3,128,1504,S24_1937,Shipped,45,32.53,1463.85,spain,10101-3,128-FH668230,33820.62,FH668230,2004-03-24
10101,3,128,1504,S24_1937,Shipped,45,32.53,1463.85,spain,10101-3,128-IP383901,7466.32,IP383901,2004-11-18
10101,4,128,1504,S18_2325,Shipped,25,108.06,2701.5,spain,10101-4,128-DI925118,10549.01,DI925118,2003-01-28
10101,4,128,1504,S18_2325,Shipped,25,108.06,2701.5,spain,10101-4,128-FA465482,24101.81,FA465482,2003-10-18
10101,4,128,1504,S18_2325,Shipped,25,108.06,2701.5,spain,10101-4,128-FH668230,33820.62,FH668230,2004-03-24
10101,4,128,1504,S18_2325,Shipped,25,108.06,2701.5,spain,10101-4,128-IP383901,7466.32,IP383901,2004-11-18
10102,1,181,1286,S18_1367,Shipped,41,43.13,1768.33,spain,10102-1,181-CM564612,22602.36,CM564612,2004-04-25
10102,1,181,1286,S18_1367,Shipped,41,43.13,1768.33,spain,10102-1,181-GQ132144,5494.78,GQ132144,2003-01-30
10102,1,181,1286,S18_1367,Shipped,41,43.13,1768.33,spain,10102-1,181-OH367219,44400.5,OH367219,2004-11-16
10102,2,181,1286,S18_1342,Shipped,39,95.55,3726.45,spain,10102-2,181-CM564612,22602.36,CM564612,2004-04-25
