ordernumber,orderlinenumber,orderdate,shippeddate,requireddate,customernumber,employeenumber,productcode,status,comments,quantityordered,priceeach,sales_amount,days_to_ship,days_required
10100,1,2003-01-06,2003-01-10,2003-01-13,363,1216,S24_3969,Shipped,Sin comentarios,49,35.29,1729.21,4.0,7
10100,2,2003-01-06,2003-01-10,2003-01-13,363,1216,S18_2248,Shipped,Sin comentarios,50,55.09,2754.5,4.0,7
10100,3,2003-01-06,2003-01-10,2003-01-13,363,1216,S18_1749,Shipped,Sin comentarios,30,136.0,4080.0,4.0,7
10100,4,2003-01-06,2003-01-10,2003-01-13,363,1216,S18_4409,Shipped,Sin comentarios,22,75.46,1660.12,4.0,7
10101,1,2003-01-09,2003-01-11,2003-01-18,128,1504,S18_2795,Shipped,Check on availability.,26,167.06,4343.56,2.0,9
10101,2,2003-01-09,2003-01-11,2003-01-18,128,1504,S24_2022,Shipped,Check on availability.,46,44.35,2040.1,2.0,9
10101,3,2003-01-09,2003-01-11,2003-01-18,128,1504,S24_1937,Shipped,Check on availability.,45,32.53,1463.85,2.0,9
10101,4,2003-01-09,2003-01-11,2003-01-18,128,1504,S18_2325,Shipped,Check on availability.,25,108.06,2701.5,2.0,9
10102,1,2003-01-10,2003-01-14,2003-01-18,181,1286,S18_1367,Shipped,Sin comentarios,41,43.13,1768.33,4.0,8
10102,2,2003-01-10,2003-01-14,2003-01-18,181,1286,S18_1342,Shipped,Sin comentarios,39,95.55,3726.45,4.0,8
10103,1,2003-01-29,2003-02-02,2003-02-07,121,1504,S24_2300,Shipped,Sin comentarios,36,107.34,3864.24,4.0,9
10103,2,2003-01-29,2003-02-02,2003-02-07,121,1504,S18_2432,Shipped,Sin comentarios,22,58.34,1283.48,4.0,9
10103,3,2003-01-29,2003-02-02,2003-02-07,121,1504,S32_1268,Shipped,Sin comentarios,31,92.46,2866.26,4.0,9
10103,4,2003-01-29,2003-02-02,2003-02-07,121,1504,S10_4962,Shipped,Sin comentarios,42,119.67,5026.14,4.0,9
10103,5,2003-01-29,2003-02-02,2003-02-07,121,1504,S18_4600,Shipped,Sin comentarios,36,98.07,3530.52,4.0,9
10103,6,2003-01-29,2003-02-02,2003-02-07,121,1504,S700_2824,Shipped,Sin comentarios,42,94.07,3950.94,4.0,9
10103,7,2003-01-29,2003-02-02,2003-02-07,121,1504,S32_3522,Shipped,Sin comentarios,45,63.35,2850.75,4.0,9
10103,8,2003-01-29,2003-02-02,2003-02-07,121,1504,S12_1666,Shipped,Sin comentarios,27,121.64,3284.28,4.0,9
