ordernumber,orderlinenumber,shippeddate,requireddate,customernumber,employeenumber,productcode,status,comments,quantityordered,priceeach,sales_amount,days_to_ship,days_required,total_sales_line
10100,1,2003-01-10,2003-01-13,363,1216,S24_3969,Shipped,,49,35.29,1729.21,4.0,7,1729.21
10100,2,2003-01-10,2003-01-13,363,1216,S18_2248,Shipped,,50,55.09,2754.5,4.0,7,2754.5
10100,3,2003-01-10,2003-01-13,363,1216,S18_1749,Shipped,,30,136.0,4080.0,4.0,7,4080.0
10100,4,2003-01-10,2003-01-13,363,1216,S18_4409,Shipped,,22,75.46,1660.12,4.0,7,1660.12
10101,1,2003-01-11,2003-01-18,128,1504,S18_2795,Shipped,Check on availability.,26,167.06,4343.56,2.0,9,4343.56
10101,2,2003-01-11,2003-01-18,128,1504,S24_2022,Shipped,Check on availability.,46,44.35,2040.1000000000001,2.0,9,2040.1000000000001
10101,3,2003-01-11,2003-01-18,128,1504,S24_1937,Shipped,Check on availability.,45,32.53,1463.8500000000001,2.0,9,1463.8500000000001
10101,4,2003-01-11,2003-01-18,128,1504,S18_2325,Shipped,Check on availability.,25,108.06,2701.5,2.0,9,2701.5
10102,1,2003-01-14,2003-01-18,181,1286,S18_1367,Shipped,,41,43.13,1768.3300000000002,4.0,8,1768.3300000000002
10102,2,2003-01-14,2003-01-18,181,1286,S18_1342,Shipped,,39,95.55,3726.45,4.0,8,3726.45
10103,1,2003-02-02,2003-02-07,121,1504,S24_2300,Shipped,,36,107.34,3864.2400000000002,4.0,9,3864.2400000000002
10103,2,2003-02-02,2003-02-07,121,1504,S18_2432,Shipped,,22,58.34,1283.48,4.0,9,1283.48
10103,3,2003-02-02,2003-02-07,121,1504,S32_1268,Shipped,,31,92.46,2866.2599999999998,4.0,9,2866.2599999999998
10103,4,2003-02-02,2003-02-07,121,1504,S10_4962,Shipped,,42,119.67,5026.14,4.0,9,5026.14
10103,5,2003-02-02,2003-02-07,121,1504,S18_4600,Shipped,,36,98.07,3530.5199999999995,4.0,9,3530.5199999999995
10103,6,2003-02-02,2003-02-07,121,1504,S700_2824,Shipped,,42,94.07,3950.9399999999996,4.0,9,3950.9399999999996
10103,7,2003-02-02,2003-02-07,121,1504,S32_3522,Shipped,,45,63.35,2850.75,4.0,9,2850.75
