,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1000742,2008,2,12,2,1937.0,1940,2220.0,2120,MQ,4745,N725AE,163.0,100.0,69.0,60.0,-3.0,RDU,LGA,431,16.0,78.0,0,,0,0.0,0.0,60.0,0.0,0.0
3014085,2008,6,8,7,1802.0,1745,1924.0,1910,WN,450,N726SW,262.0,265.0,246.0,14.0,17.0,MCO,PHX,1848,7.0,9.0,0,,0,,,,,
4122484,2008,7,23,3,900.0,900,947.0,955,AA,1241,N539AA,107.0,115.0,89.0,-8.0,0.0,DFW,DEN,641,7.0,11.0,0,,0,,,,,
3855808,2008,7,31,4,1030.0,1034,1244.0,1246,UA,751,N417UA,254.0,252.0,219.0,-2.0,-4.0,PHL,DEN,1557,8.0,27.0,0,,0,,,,,
5565463,2008,10,27,1,1618.0,1623,1839.0,1848,OO,5962,N754SK,81.0,85.0,64.0,-9.0,-5.0,ORD,PIT,412,5.0,12.0,0,,0,,,,,
1940509,2008,4,4,5,748.0,750,942.0,947,OH,5480,N963CA,114.0,117.0,96.0,-5.0,-2.0,CVG,BDL,661,7.0,11.0,0,,0,,,,,
1224481,2008,3,17,1,1451.0,1410,1753.0,1725,WN,1055,N745SW,122.0,135.0,109.0,28.0,41.0,STL,PHL,813,4.0,9.0,0,,0,0.0,0.0,0.0,0.0,28.0
6083664,2008,11,19,3,1330.0,1322,1519.0,1513,OH,6543,N369CA,109.0,111.0,76.0,6.0,8.0,PIT,ATL,526,10.0,23.0,0,,0,,,,,
5962313,2008,11,9,7,2032.0,2015,2123.0,2110,WN,3075,N373SW,51.0,55.0,40.0,13.0,17.0,SAT,DAL,248,5.0,6.0,0,,0,,,,,
4474469,2008,8,3,7,1525.0,1533,1618.0,1644,UA,623,N303UA,113.0,131.0,92.0,-26.0,-8.0,DCA,ORD,612,8.0,13.0,0,,0,,,,,
5545629,2008,10,29,3,631.0,630,742.0,750,OO,3871,N910EV,71.0,80.0,60.0,-8.0,1.0,BIL,SLC,387,4.0,7.0,0,,0,,,,,
2115926,2008,4,27,7,1904.0,1810,2049.0,1945,EV,4478,N760EV,105.0,95.0,75.0,64.0,54.0,MLB,ATL,443,15.0,15.0,0,,0,0.0,0.0,10.0,0.0,54.0
106210,2008,1,19,6,1654.0,1700,1818.0,1854,XE,2514,N14993,84.0,114.0,69.0,-36.0,-6.0,CMH,EWR,462,7.0,8.0,0,,0,,,,,
4996435,2008,9,2,2,506.0,514,545.0,602,OO,5860,N975SW,39.0,48.0,22.0,-17.0,-8.0,MSN,ORD,109,6.0,11.0,0,,0,,,,,
3697274,2008,7,30,3,639.0,640,811.0,810,WN,25,N756SA,152.0,150.0,130.0,1.0,-1.0,PVD,MDW,842,4.0,18.0,0,,0,,,,,
140406,2008,1,16,3,909.0,910,1209.0,1211,YV,7134,N513MJ,120.0,121.0,96.0,-2.0,-1.0,ORD,ORF,717,3.0,21.0,0,,0,,,,,
5435770,2008,10,18,6,920.0,920,937.0,940,WN,2234,N763SW,77.0,80.0,64.0,-3.0,0.0,SLC,LAS,368,3.0,10.0,0,,0,,,,,
2362842,2008,4,14,1,1135.0,1120,1643.0,1638,CO,394,N73291,188.0,198.0,170.0,5.0,15.0,LAX,IAH,1379,5.0,13.0,0,,0,,,,,
1357866,2008,3,8,6,1703.0,1705,1824.0,1829,OO,3934,N445SW,81.0,84.0,56.0,-5.0,-2.0,SLC,BIL,387,4.0,21.0,0,,0,,,,,
2950785,2008,5,29,4,758.0,800,1256.0,1300,CO,296,N30401,178.0,180.0,153.0,-4.0,-2.0,LAS,IAH,1222,10.0,15.0,0,,0,,,,,
193147,2008,1,16,3,810.0,815,1032.0,1040,OO,2522,N479CA,82.0,85.0,67.0,-8.0,-5.0,MKE,PIT,431,6.0,9.0,0,,0,,,,,
975024,2008,2,15,5,626.0,630,912.0,845,MQ,3570,N669MB,166.0,135.0,120.0,27.0,-4.0,CID,DFW,685,6.0,40.0,0,,0,0.0,0.0,27.0,0.0,0.0
6714727,2008,12,18,4,735.0,730,1103.0,1027,US,1145,N184US,388.0,357.0,371.0,36.0,5.0,PHL,SAN,2369,3.0,14.0,0,,0,5.0,0.0,31.0,0.0,0.0
1755766,2008,3,5,3,2026.0,1755,2203.0,1950,CO,825,N17644,97.0,115.0,69.0,133.0,151.0,EWR,CLE,404,8.0,20.0,0,,0,4.0,0.0,0.0,0.0,129.0
2201725,2008,4,20,7,2148.0,1955,2318.0,2145,MQ,4632,N700LE,90.0,110.0,66.0,93.0,113.0,EWR,RDU,416,4.0,20.0,0,,0,2.0,0.0,0.0,0.0,91.0
36821,2008,1,14,1,629.0,630,735.0,730,WN,131,N712SW,66.0,60.0,45.0,5.0,-1.0,MDW,STL,251,3.0,18.0,0,,0,,,,,
6495448,2008,12,12,5,1747.0,1735,1847.0,1840,WN,51,N360SW,60.0,65.0,47.0,7.0,12.0,LBB,DAL,293,3.0,10.0,0,,0,,,,,
1186127,2008,3,6,4,1604.0,1605,1658.0,1710,WN,2545,N273WN,54.0,65.0,42.0,-12.0,-1.0,LAS,BUR,223,2.0,10.0,0,,0,,,,,
