cliente_id,nombre_cliente,fecha_atencion,servicio
C0001,Cliente 1,2025-03-04,Servicio C
C0002,Cliente 2,2025-03-18,Servicio A
C0003,Cliente 3,2025-03-31,Servicio B
C0004,Cliente 4,2025-03-18,Servicio C
C0005,Cliente 5,2025-03-04,Servicio C
C0006,Cliente 6,2025-03-13,Servicio A
C0007,Cliente 7,2025-03-05,Servicio C
C0008,Cliente 8,2025-03-11,Servicio C
C0009,Cliente 9,2025-03-02,Servicio A
C0010,Cliente 10,2025-03-02,Servicio A
C0011,Cliente 11,2025-03-24,Servicio C
C0012,Cliente 12,2025-03-18,Servicio B
C0013,Cliente 13,2025-03-27,Servicio B
C0014,Cliente 14,2025-03-06,Servicio B
C0015,Cliente 15,2025-03-03,Servicio C
C0016,Cliente 16,2025-03-01,Servicio A
C0017,Cliente 17,2025-03-14,Servicio B
C0018,Cliente 18,2025-03-20,Servicio C
C0019,Cliente 19,2025-03-01,Servicio B
C0020,Cliente 20,2025-03-30,Servicio C
C0021,Cliente 21,2025-03-12,Servicio C
C0022,Cliente 22,2025-03-04,Servicio C
C0023,Cliente 23,2025-03-26,Servicio B
C0024,Cliente 24,2025-03-11,Servicio A
C0025,Cliente 25,2025-03-20,Servicio C
C0026,Cliente 26,2025-03-05,Servicio B
C0027,Cliente 27,2025-03-17,Servicio A
C0028,Cliente 28,2025-03-18,Servicio B
C0029,Cliente 29,2025-03-29,Servicio B
C0030,Cliente 30,2025-03-11,Servicio C
C0031,Cliente 31,2025-03-22,Servicio A
C0032,Cliente 32,2025-03-09,Servicio C
C0033,Cliente 33,2025-03-20,Servicio B
C0034,Cliente 34,2025-03-22,Servicio C
C0035,Cliente 35,2025-03-26,Servicio B
C0036,Cliente 36,2025-03-20,Servicio A
C0037,Cliente 37,2025-03-04,Servicio A
C0038,Cliente 38,2025-03-17,Servicio A
C0039,Cliente 39,2025-03-17,Servicio C
C0040,Cliente 40,2025-03-13,Servicio A
C0041,Cliente 41,2025-03-08,Servicio B
C0042,Cliente 42,2025-04-01,Servicio C
C0043,Cliente 43,2025-03-13,Servicio C
C0044,Cliente 44,2025-03-05,Servicio C
C0045,Cliente 45,2025-03-10,Servicio A
C0046,Cliente 46,2025-03-13,Servicio C
C0047,Cliente 47,2025-03-08,Servicio C
C0048,Cliente 48,2025-03-28,Servicio A
C0049,Cliente 49,2025-03-02,Servicio A
C0050,Cliente 50,2025-03-11,Servicio B
C0051,Cliente 51,2025-03-01,Servicio C
C0052,Cliente 52,2025-03-25,Servicio B
C0053,Cliente 53,2025-03-26,Servicio C
C0054,Cliente 54,2025-03-27,Servicio A
C0055,Cliente 55,2025-03-22,Servicio C
C0056,Cliente 56,2025-03-24,Servicio C
C0057,Cliente 57,2025-03-12,Servicio A
C0058,Cliente 58,2025-03-13,Servicio A
C0059,Cliente 59,2025-03-01,Servicio A
C0060,Cliente 60,2025-03-10,Servicio B
C0061,Cliente 61,2025-03-10,Servicio B
C0062,Cliente 62,2025-03-26,Servicio B
C0063,Cliente 63,2025-03-02,Servicio B
C0064,Cliente 64,2025-03-02,Servicio B
C0065,Cliente 65,2025-03-08,Servicio A
C0066,Cliente 66,2025-03-09,Servicio A
C0067,Cliente 67,2025-03-17,Servicio C
C0068,Cliente 68,2025-03-22,Servicio B
C0069,Cliente 69,2025-03-04,Servicio A
C0070,Cliente 70,2025-03-29,Servicio B
C0071,Cliente 71,2025-03-16,Servicio C
