factura_id,cliente_id,fecha_factura,monto,estado_pago
F001,C0001,2025-04-05,66.09,Cobrado
F002,C0002,2025-03-16,371.86,Cobrado
F003,C0003,2025-04-03,490.9,Cobrado
F004,C0004,2025-03-28,307.47,Cobrado
F005,C0005,2025-03-16,63.76,Cobrado
F006,C0006,2025-03-13,91.08,Pendiente
F007,C0007,2025-03-20,436.73,Pendiente
F008,C0008,2025-03-19,259.21,Pendiente
F009,C0009,2025-03-24,400.37,Pendiente
F010,C0010,2025-03-28,342.06,Cobrado
F011,C0011,2025-03-18,56.17,Pendiente
F012,C0012,2025-03-09,439.46,Pendiente
F013,C0013,2025-03-30,285.86,Cobrado
F014,C0014,2025-03-08,174.33,Cobrado
F015,C0015,2025-03-06,160.5,Cobrado
F016,C0016,2025-03-22,321.8,Cobrado
F017,C0017,2025-03-27,212.43,Pendiente
F018,C0018,2025-03-08,98.82,Cobrado
F019,C0019,2025-03-16,339.0,Cobrado
F020,C0020,2025-04-01,70.99,Cobrado
F021,C0021,2025-03-22,263.85,Pendiente
F022,C0022,2025-03-16,298.27,Cobrado
F023,C0023,2025-03-09,479.89,Cobrado
F024,C0024,2025-03-11,408.21,Cobrado
F025,C0025,2025-04-05,497.51,Pendiente
F026,C0026,2025-03-18,67.65,Pendiente
F027,C0027,2025-03-08,90.29,Cobrado
F028,C0028,2025-03-17,236.69,Cobrado
F029,C0029,2025-03-17,166.49,Pendiente
F030,C0030,2025-03-27,443.0,Pendiente
F031,C0031,2025-03-14,63.58,Pendiente
F032,C0032,2025-03-21,227.81,Cobrado
F033,C0033,2025-03-19,337.87,Cobrado
F034,C0034,2025-03-12,470.56,Pendiente
F035,C0035,2025-04-02,495.4,Pendiente
F036,C0036,2025-03-07,456.9,Cobrado
F037,C0037,2025-03-31,83.79,Pendiente
F038,C0038,2025-03-20,298.49,Cobrado
F039,C0039,2025-03-22,366.57,Pendiente
F040,C0040,2025-03-24,84.44,Pendiente
F041,C0041,2025-03-20,382.32,Cobrado
F042,C0042,2025-04-05,384.08,Cobrado
F043,C0043,2025-03-06,130.72,Pendiente
F044,C0044,2025-03-14,297.61,Cobrado
F045,C0045,2025-03-07,122.02,Pendiente
F046,C0046,2025-03-08,388.15,Cobrado
F047,C0047,2025-04-01,416.44,Cobrado
F048,C0048,2025-03-22,184.96,Pendiente
F049,C0049,2025-04-05,248.82,Pendiente
F050,C0050,2025-03-06,122.65,Cobrado
F051,C0051,2025-03-14,72.03,Cobrado
F052,C0052,2025-03-22,159.67,Pendiente
F053,C0053,2025-03-26,201.97,Cobrado
F054,C0054,2025-03-15,385.09,Pendiente
F055,C0055,2025-03-29,347.79,Pendiente
F056,C0056,2025-03-18,426.88,Cobrado
F057,C0057,2025-04-05,173.5,Pendiente
F058,C0058,2025-03-19,329.76,Cobrado
F059,C0059,2025-03-06,168.84,Cobrado
F060,C0060,2025-03-16,85.89,Cobrado
F061,C0061,2025-03-05,312.97,Pendiente
F062,C0062,2025-04-02,496.89,Cobrado
F063,C0063,2025-03-22,443.36,Pendiente
F064,C0064,2025-03-28,436.94,Cobrado
F065,C0065,2025-03-11,349.83,Cobrado
F066,C0066,2025-03-24,352.61,Cobrado
F067,C0067,2025-03-16,227.23,Pendiente
F068,C0068,2025-03-16,160.64,Cobrado
F069,C0069,2025-03-14,95.55,Pendiente
F070,C0070,2025-03-17,465.69,Cobrado
F071,C0071,2025-03-24,415.56,Pendiente
F072,C0072,2025-03-30,489.17,Pendiente
F073,C0073,2025-03-31,168.92,Pendiente
F074,C0074,2025-03-24,416.36,Cobrado
F075,C0075,2025-04-03,116.6,Pendiente
F076,C0076,2025-03-12,263.87,Cobrado
F077,C0077,2025-03-06,242.55,Pendiente
F078,C0078,2025-03-23,300.46,Pendiente
F079,C0079,2025-03-12,484.5,Pendiente
F080,C0080,2025-03-30,82.09,Pendiente
F081,C0081,2025-03-17,143.27,Cobrado
F082,C0082,2025-03-28,253.82,Cobrado
F083,C0083,2025-03-08,490.3,Pendiente
F084,C0084,2025-03-23,429.03,Pendiente
F085,C0085,2025-03-14,200.03,Pendiente
F086,C0086,2025-04-02,494.32,Pendiente
F087,C0087,2025-03-11,146.86,Pendiente
F088,C0088,2025-03-31,360.27,Pendiente
F089,C0089,2025-03-24,206.53,Cobrado
F090,C0090,2025-04-01,224.84,Pendiente
F091,C0091,2025-03-13,281.95,Cobrado
F092,C0092,2025-03-20,475.59,Cobrado
F093,C0093,2025-03-30,175.4,Pendiente
F094,C0094,2025-03-22,222.46,Pendiente
F095,C0095,2025-03-28,262.99,Cobrado
F096,C0096,2025-03-25,420.63,Pendiente
F097,C0097,2025-03-30,260.52,Pendiente
F098,C0098,2025-03-19,130.01,Cobrado
F099,C0099,2025-04-04,63.96,Pendiente
F100,C0100,2025-03-17,210.33,Cobrado
F101,C0101,2025-03-14,167.33,Cobrado
F102,C0102,2025-03-07,459.04,Pendiente
F103,C0103,2025-03-13,242.39,Cobrado
F104,C0104,2025-03-16,470.65,Pendiente
F105,C0105,2025-03-05,131.57,Pendiente
F106,C0106,2025-04-05,387.7,Cobrado
F107,C0107,2025-04-04,416.26,Cobrado
F108,C0108,2025-03-06,136.46,Pendiente
F109,C0109,2025-03-22,358.76,Cobrado
F110,C0110,2025-03-07,276.29,Cobrado
F111,C0111,2025-03-12,276.62,Cobrado
F112,C0112,2025-03-20,303.44,Pendiente
F113,C0113,2025-04-05,469.77,Cobrado
F114,C0114,2025-03-11,115.78,Pendiente
F115,C0115,2025-03-26,178.49,Cobrado
F116,C0116,2025-03-19,169.62,Pendiente
F117,C0117,2025-03-22,157.32,Pendiente
F118,C0118,2025-03-09,241.19,Pendiente
F119,C0119,2025-03-25,499.02,Cobrado
F120,C0120,2025-03-30,128.98,Pendiente
F121,C0121,2025-03-28,278.1,Cobrado
F122,C0122,2025-03-12,444.26,Cobrado
F123,C0123,2025-03-30,329.5,Pendiente
F124,C0124,2025-03-17,384.14,Cobrado
F125,C0125,2025-03-24,236.14,Cobrado
F126,C0126,2025-03-31,496.86,Cobrado
F127,C0127,2025-03-06,226.64,Pendiente
F128,C0128,2025-03-10,425.21,Pendiente
F129,C0129,2025-04-05,104.99,Pendiente
F130,C0130,2025-03-14,302.9,Pendiente
F131,C0131,2025-03-29,138.83,Cobrado
F132,C0132,2025-03-22,384.72,Cobrado
F133,C0133,2025-03-20,68.99,Pendiente
F134,C0134,2025-03-17,137.42,Cobrado
F135,C0135,2025-03-06,308.87,Cobrado
F136,C0136,2025-03-21,418.23,Pendiente
F137,C0137,2025-03-23,323.34,Cobrado
F138,C0138,2025-03-22,106.15,Pendiente
F139,C0139,2025-03-14,456.67,Pendiente
F140,C0140,2025-03-29,232.19,Pendiente
F141,C0141,2025-04-02,99.76,Pendiente
F142,C0142,2025-04-05,362.97,Cobrado
F143,C0143,2025-03-08,401.16,Cobrado
F144,C0144,2025-03-21,251.51,Pendiente
F145,C0145,2025-03-31,398.18,Pendiente
F146,C0146,2025-03-06,188.89,Cobrado
F147,C0147,2025-03-18,234.7,Pendiente
F148,C0148,2025-03-31,366.36,Cobrado
F149,C0149,2025-03-27,137.81,Pendiente
F150,C0150,2025-03-07,65.88,Cobrado
F151,C0151,2025-03-06,399.3,Cobrado
F152,C0152,2025-04-05,399.81,Pendiente
F153,C0153,2025-03-26,397.73,Pendiente
F154,C0154,2025-03-08,108.63,Pendiente
F155,C0155,2025-03-27,277.05,Cobrado
F156,C0156,2025-03-06,361.96,Pendiente
F157,C0157,2025-04-04,451.41,Cobrado
F158,C0158,2025-04-05,348.39,Pendiente
F159,C0159,2025-03-27,299.36,Pendiente
F160,C0160,2025-04-04,327.41,Pendiente
F161,C0161,2025-03-20,245.98,Pendiente
F162,C0162,2025-04-03,149.51,Pendiente
F163,C0163,2025-03-15,86.98,Pendiente
